Iteration, Cost, Drag, Lift, Volume, Fx, Fy, Fz
1,1.04454e-05,1.04454e-05,-1.40234e-08,0.0313177,1.04454e-05,-1.40234e-08,2.11327e-24
2,1.00067e-05,1.00067e-05,8.32616e-09,0.0313177,1.00067e-05,8.32616e-09,3.12833e-24
3,9.34499e-06,9.34499e-06,8.57146e-09,0.0313177,9.34499e-06,8.57146e-09,6.58902e-25
4,8.64635e-06,8.64635e-06,6.96908e-09,0.0313177,8.64635e-06,6.96908e-09,2.101e-24
5,7.99414e-06,7.99414e-06,5.80884e-09,0.0313177,7.99414e-06,5.80884e-09,1.00976e-24
6,7.42345e-06,7.42345e-06,5.03645e-09,0.0313177,7.42345e-06,5.03645e-09,-1.24809e-25
7,6.9379e-06,6.9379e-06,4.45817e-09,0.0313177,6.9379e-06,4.45817e-09,-2.3712e-24
8,6.52624e-06,6.52624e-06,4.00389e-09,0.0313177,6.52624e-06,4.00389e-09,-1.4889e-24
9,6.17409e-06,6.17409e-06,3.62631e-09,0.0313177,6.17409e-06,3.62631e-09,-3.82424e-24
10,5.86898e-06,5.86898e-06,3.3102e-09,0.0313177,5.86898e-06,3.3102e-09,-9.0776e-25
11,5.60126e-06,5.60126e-06,3.03297e-09,0.0313177,5.60126e-06,3.03297e-09,2.38476e-25
12,5.36374e-06,5.36374e-06,2.7936e-09,0.0313177,5.36374e-06,2.7936e-09,2.12334e-24
13,5.15099e-06,5.15099e-06,2.58363e-09,0.0313177,5.15099e-06,2.58363e-09,-2.78918e-24
14,4.95887e-06,4.95887e-06,2.39697e-09,0.0313177,4.95887e-06,2.39697e-09,-4.67343e-26
15,4.78415e-06,4.78415e-06,2.23151e-09,0.0313177,4.78415e-06,2.23151e-09,7.14417e-25
16,4.6243e-06,4.6243e-06,2.0836e-09,0.0313177,4.6243e-06,2.0836e-09,2.40058e-25
17,4.47727e-06,4.47727e-06,1.95111e-09,0.0313177,4.47727e-06,1.95111e-09,-9.76101e-25
18,4.3414e-06,4.3414e-06,1.83157e-09,0.0313177,4.3414e-06,1.83157e-09,-7.96193e-25
19,4.21532e-06,4.21532e-06,1.72362e-09,0.0313177,4.21532e-06,1.72362e-09,3.52651e-25
20,4.0979e-06,4.0979e-06,1.6256e-09,0.0313177,4.0979e-06,1.6256e-09,-1.48403e-25
21,3.98817e-06,3.98817e-06,1.53639e-09,0.0313177,3.98817e-06,1.53639e-09,4.14124e-25
22,3.88533e-06,3.88533e-06,1.45475e-09,0.0313177,3.88533e-06,1.45475e-09,2.05868e-25
23,3.78867e-06,3.78867e-06,1.37999e-09,0.0313177,3.78867e-06,1.37999e-09,2.47028e-24
24,3.6976e-06,3.6976e-06,1.31121e-09,0.0313177,3.6976e-06,1.31121e-09,7.48513e-25
25,3.61159e-06,3.61159e-06,1.24781e-09,0.0313177,3.61159e-06,1.24781e-09,-1.90085e-24
26,3.5302e-06,3.5302e-06,1.18913e-09,0.0313177,3.5302e-06,1.18913e-09,2.13352e-25
27,3.45302e-06,3.45302e-06,1.13493e-09,0.0313177,3.45302e-06,1.13493e-09,-6.61417e-25
28,3.37971e-06,3.37971e-06,1.08446e-09,0.0313177,3.37971e-06,1.08446e-09,-2.85327e-26
29,3.30994e-06,3.30994e-06,1.03749e-09,0.0313177,3.30994e-06,1.03749e-09,-1.33276e-24
30,3.24345e-06,3.24345e-06,9.93618e-10,0.0313177,3.24345e-06,9.93618e-10,-4.96127e-25
31,3.17999e-06,3.17999e-06,9.5264e-10,0.0313177,3.17999e-06,9.5264e-10,5.10303e-25
32,3.11934e-06,3.11934e-06,9.14265e-10,0.0313177,3.11934e-06,9.14265e-10,2.40727e-25
33,3.0613e-06,3.0613e-06,8.7835e-10,0.0313177,3.0613e-06,8.7835e-10,-1.75548e-24
34,3.00569e-06,3.00569e-06,8.44439e-10,0.0313177,3.00569e-06,8.44439e-10,-1.04392e-24
35,2.95234e-06,2.95234e-06,8.1264e-10,0.0313177,2.95234e-06,8.1264e-10,1.66243e-24
36,2.90111e-06,2.90111e-06,7.82553e-10,0.0313177,2.90111e-06,7.82553e-10,-1.96181e-24
37,2.85187e-06,2.85187e-06,7.54167e-10,0.0313177,2.85187e-06,7.54167e-10,1.15105e-24
38,2.80449e-06,2.80449e-06,7.27269e-10,0.0313177,2.80449e-06,7.27269e-10,-1.93675e-24
39,2.75885e-06,2.75885e-06,7.01841e-10,0.0313177,2.75885e-06,7.01841e-10,1.7008e-24
